project_name,rera_registration_no,rera_status,source_url,developer_name,developer_address,developer_phone,developer_email,developer_website,developer_cin,developer_pan,plot_no,sector,city,district,state,pin_code,tehsil,project_type,applicant_type,land_area,total_units,units_sold,units_available,project_address,configurations,sizes,project_size,total_floors,launch_price,current_price,density,proposed_far,permissible_far,total_licensed_land,start_date,completion_date,extended_date,total_project_cost,escrow_account,amenities,project_description,other_details
Ashiana Aaroham Phase 1,RERA-GRG-2020-2025,,https://reratracker.com/ashiana-aaroham-phase-1-in-gurugram-by-ashiana-housing-limited-rtid5324,Ashiana,,9810789884,abhijit.joshi@ashianahousing.com,,,,,80,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,4.66 (Acre),552,,,REVENUE ESTATE OF VILLAGE- HSIIDC PLOT NO GH-04 SECTOR 80 IMT MANESAR GURUGRAM HARYANA,,48x48,,23,,,,186.481,1.87,10.80 (Acre),2026-02-09,,,,,,,
ASHIANA AMARAH PHASE II,RERA-GRG-1249-2022,,https://reratracker.com/ashiana-amarah-phase-ii-in-gurugram-by-ashiana-housing-limited-rtid3504,Ashiana,,9810789884,jatin.kumar@ashianahousing.com,,,,,93,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,3.9378 (Acre),224,,,"REVENUE ESTATE OF VILLAGE- WAZIRPUR, SECTOR 93, DISTT. GURUGRAM, HARYANA",,48x48,,14,,,,182.976,184,22.344 (Acre),,,,,,,,
ASHIANA AMARAH PHASE 4,RERA-GRG-1594-2024,,https://reratracker.com/ashiana-amarah-phase-4-in-gurugram-by-ashiana-housing-limited-rtid3502,Ashiana,,9810789884,Jatin.kumar@ashianahousing.com,,,,,93,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,4.395 (Acre),,,,"REVENUE ESTATE OF VILLAGE- WAZIRPUR, SECTOR 93, DISTT. GURUGRAM, HARYANA",,48x48,,,,,,182.976,184,22.344 (Acre),,,,,,,,
ASHIANA AMARAH PHASE 5,RERA-GRG-1753-2024,,https://reratracker.com/ashiana-amarah-phase-5-in-gurugram-by-ashiana-housing-limited-rtid3503,Ashiana,,9810789884,Jatin.kumar@ashianahousing.com,,,,,93,Gurugram,GURUGRAM,Haryana,,HARSARU ST,NEW,,2.906 (Acre),248,,,"REVENUE ESTATE OF VILLAGE- WAZIRPUR, SECTOR 93, DISTT. GURUGRAM, HARYANA",,48x48,,14,,,,182.976,184,22.344 (Acre),,,,,,,,
Bestech Altura,RERA-GRG-397-2019,,https://reratracker.com/bestech-altura-in-gurugram-by-bestech-india-pvt-ltd-rtid3737,Bestech,,8130590085,br.bansal@bestechgroup.com,,,,,79,Gurugram,GURUGRAM,Haryana,,MANESAR,ONGOING,,10.10 (Acre),540,,,"SECTOR 79, VILLAGE NAURANGPUR, GURUGRAM",,48x48,,18,,,,1.84,1.84,10.10 (Acre),,,,,,,,
Birla Arika,RERA-GRG-1823-2024,,https://reratracker.com/birla-arika-in-gurugram-by-birla-estates-private-limited-rtid3539,Birla Estates,,8828809059,be.ncr.legal@adityabirla.com,,,,,31,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,11.745 (Acre),356,,,"SECTOR 31-32A, GURUGRAM",,48x48,,40,,,,1.87,1.87,13.275 (Acre),2025-03-24,,,,,,,
Birla Pravaah,RERA-GRG-2071-2025,,https://reratracker.com/birla-pravaah-in-gurugram-by-birla-estates-private-limited-rtid5254,Birla Estates,,8828809059,be.ncr.legal@adityabirla.com,,,,,71,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,5.075 (Acre),492,,,SECTOR 71,,48x48,,36,,,,3.62,3.62,5.075 (Acre),2025-12-08,,,,,,,
BPTP AMSTORIA VERTI-GREENS,RERA-GRG-1830-2024,,https://reratracker.com/bptp-amstoria-verti-greens-in-gurugram-by-bptp-limited-rtid3550,BPTP,,9289747444,Rera.gurugram@bptp.com,,,,,102,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,9.4292 (Acre),885,,,SECTOR 102 GURUGRAM,,48x48,,45,,,,2.82,3.65,12.05 (Acre),,,,,,,,
BPTP DOWNTOWN-66,RERA-GRG-2009-2025,,https://reratracker.com/bptp-downtown-66-in-gurugram-by-bptp-limited-rtid5220,BPTP,,9289747444,Rera.gurugram@bptp.com,,,,,66,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,4.235 (Acre),504,,,SECTOR 66 GURUGRAM,,48x48,,46,,,,3.18,3.18,14.518 (Acre),,,,,,,,
BPTP GAIA RESIDENCES AT AMSTORIA 102,RERA-GRG-1959-2025,,https://reratracker.com/bptp-gaia-residences-at-amstoria-102-in-gurugram-by-bptp-limited-rtid5173,BPTP Ltd.,,9289747444,Rera.gurugram@bptp.com,,,,,102,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,1.6838 (Acre),531,,,SECTOR 102 GURUGRAM,,48x48,,45,,,,4.40,5.15,12.05 (Acre),,,,,,,,
BELLAVISTA / BELAPERLA - CENTRAL PARK RESORT,RERA-GRG-330-2019,,https://reratracker.com/bellavista-belaperla-central-park-resort-in-gurugram-by-sweta-estates-pvt-ltd-rtid3535,Central Park,,9870470082,rakesh.malhotra@centralpark.in,,,,,48,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,13.20 (Acre),499,,,"SECTOR 48, SOHNA ROAD, NEAR SUBHASH CHOWK, GURGAON",,48x48,,31,,,,18,1.78,47.418 (Acre),,,,,,,,
CENTRAL PARK BIGNONIA TOWERS,RERA-GRG-1618-2024,,https://reratracker.com/central-park-bignonia-towers-in-gurugram-by-st-patricks-realty-pvt-ltd-rtid3563,Central Park,,9871640340,contact@centralpark.in,,,,,32,Gurugram,GURUGRAM,Haryana,,SOHNA,NEW,,7.35625 (Acre),193,,,"VILLAGE DHUNELA, SECTOR-32 SOHNA- GURUGRAM, HARYANA",,48x48,,48,,,,1.85,1.87,7.35625 (Acre),,,,,,,,
Central Park Delphine Phase 2 (Tower F),RERA-GRG-2064-2025,,https://reratracker.com/central-park-delphine-phase-2-tower-f-in-gurugram-by-st-nicholas-estate-development-pvt-ltd-rtid5236,Central Park,,7428189412,contact@centralpark.in,,,,,48,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,3.079 (Acre),165,,,"SECTOR-104, GURUGRAM",,48x48,,15,,,,364,365,7.8507 (Acre),,,,,,,,
DESTINO CENTRAL PARK,RERA-GRG-1945-2025,,https://reratracker.com/destino-central-park-in-gurugram-by-st-patricks-realty-pvt-ltd-rtid5250,Central Park,,9810204050,contact@centralpark.in,,,,,33,Gurugram,GURUGRAM,Haryana,,SOHNA,NEW,,4.11 (Acre),,,,"VILLAGE DHUNELA, SECTOR-33, SOHNA, GURUGRAM",,48x48,,,,,,1.432,1.5,197.161 (Acre),,,,,,,,
CENTRAL PARK FLOWER VALLEY PHASE IV,RERA-GRG-2118-2025,,https://reratracker.com/central-park-flower-valley-phase-iv-in-gurugram-by-st-patricks-realty-pvt-ltd-rtid5362,Central Park,,7428189412,contact@centralpark.in,,,,,32,Gurugram,GURUGRAM,Haryana,,SOHNA,NEW,,4.8284 (Acre),,,,"RESIDENTIAL PLOTTED COLONY VILLAGE DHUNELA, SECTOR-32, SOHNA, GURUGRAM",,48x48,,,,,,1,1,197.1610 (Acre),,,,,,,,
DESTINO CENTRAL PARK,RERA-GRG-1945-2025,,https://reratracker.com/destino-central-park-in-gurugram-by-st-patricks-realty-pvt-ltd-rtid5250,Central Park,,9810204050,contact@centralpark.in,,,,,104,Gurugram,GURUGRAM,Haryana,,SOHNA,NEW,,4.11 (Acre),,,,"VILLAGE DHUNELA, SECTOR-33, SOHNA, GURUGRAM",,48x48,,,,,,1.432,1.5,197.161 (Acre),,,,,,,,
CENTRAL PARK THE ORCHARD,RERA-GRG-1158-2022,,https://reratracker.com/central-park-the-orchard-in-gurugram-by-st-patricks-realty-private-limited-rtid3567,Central Park,,9870470082,contact@centralpark.in,,,,,32,Gurugram,GURUGRAM,Haryana,,SOHNA,NEW,,4.127 (Acre),,,,"SITUATED IN SECTOR-32, TEHSIL-SOHNA, GURUGRAM",,48x48,,4,,,,2.64,2.64,47.759 (Acre),,,,,,,,
Central Park The Selene ,RERA-GRG-1946-2025,,https://reratracker.com/central-park-the-selene-in-gurugram-by-st-patricks-realty-pvt-ltd-rtid5167,Central Park,,9871640340,contact@centralpark.in,,,,,32,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,3.818 (Acre),353,,,"THE MEDIAN, CENTRAL PARK RESORTS, OFF SOHNA ROAD, SECTOR-48, GURUGRAM, HARYANA-122018",,48x48,,26,,,,1.8627,1.90,3.818 (Acre),,,,,,,,
Conscient Elaira Residences Phase 1,RERA-GRG-1863-2025,,https://reratracker.com/conscient-elaira-phase-1-in-gurugram-by-conscient-infrastructure-private-limited-rtid3621,Conscient,,9810030178,sanjay.rastogi@conscient.in,,,,,80,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,4.8727 (Sqr/mtrs),540,,,"VILLAGE NAURANGPUR, SECTOR-80",,48x48,,34,,,,1.86,1.9,5.5601 (Sqr/mtrs),,,,,,,,
Conscient ParQ,RERA-GRG-1584-2024,,https://reratracker.com/conscient-parq-in-gurugram-by-keywest-eduinfra-services-private-limited-rtid3976,Conscient,,9810030178,sanjay.rastogi@conscient.in,,,,,80,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,5.6 (Acre),448,,,"VILLAGE NAURANGPUR, SECTOR-80",,48x48,,30,,,,3.1417,3.145,5.6 (Acre),,,,,,,,
Dalcore The Falcon,RERA-GRG-1838-2024,,https://reratracker.com/dalcore-the-falcon-in-gurugram-by-ahir-infraspace-pvt-ltd-rtid3607,Dalcore,,9220749669,info@dalcore.in,,,,,53,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,8132.25 (Sqr/mtrs),93,,,"PLOT NO GH-25, SECTOR 53, GURUGRAM II",,48x48,,35,,,,3.136,3.15,8132.25 (Sqr/mtrs),,,,,,,,
DLF PRIVANA NORTH,RERA-GRG-1781-2024,,https://reratracker.com/dlf-privana-north-in-gurugram-by-dlf-limited-rtid5131,DLF,,9711080232,haryanarera@dlf.in,,,,,76,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,17.701 (Acre),1164,,,SECTOR 76/77,,48x48,,50,,,,1.89,2.62,116.29625 (Acre),2025-05-10,,,,,,,
DLF PRIVANA SOUTH,RERA-GRG-1406-2023,,https://reratracker.com/dlf-privana-south-in-gurugram-by-dlf-limited-rtid3616,DLF,,9711080232,haryanarera@dlf.in,,,,,77,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,25.148 (Acre),1113,,,SECTOR 76/77,,48x48,,40,,,,1.25,1.25 (For the entire 116.29625 Acres),116.296 (Acre),2023-12-25,,,,,,,
DLF PRIVANA WEST,RERA-GRG-1540-2024,,https://reratracker.com/dlf-privana-west-in-gurugram-by-dlf-limited-rtid3617,DLF,,9711080232,haryanarera@dlf.in,,,,,76,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,12.572 (Acre),795,,,SECTOR 76/77,,48x48,,41,,,,0.461,1.25 (For the entire 116.29625Acres) \u0026 0.461 FAR has been used in DLF Privana West out of 1.25 FAR,116.29625 (Acre),2024-04-30,,,,,,,
DLF Arbour,RERA-GRG-1138-2022,,https://reratracker.com/dlf-arbour-in-gurugram-by-dlf-home-developers-limited-rtid4242,DLF,,9711080232,haryanarera@dlf.in,,,,,63,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,25.087 (Acre),1137,,,"SECTOR 63, GURUGRAM, HARYANA-122102",,48x48,,39,,,,3.14204,3.15,25.087 (Acre),,,,,,,,
DLF The Dahlias,RERA-GRG-1690-2024,,https://reratracker.com/dlf-the-dahlias-in-gurugram-by-dlf-limited-rtid4206,DLF,,9711080232,haryanarera@dlf.in,,,,,54,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,16.489 (Acre),420,,,"R16, DLF 5, SECTOR 54 GURUGRAM",,48x48,,29,,,,1.75,1.75,16.489 (Acre),,,,,,,,
DLF The Grove,RERA-GRG-941-2021,,https://reratracker.com/dlf-the-grove-in-gurugram-by-dlf-limited-rtid4217,DLF,,9711080232,haryanarera@dlf.in,,,,,54,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,5.3073 (Acre),,,,"DLF 5, SECTOR 54",,48x48,,,,,,2.49,2.49,5.3073 (Acre),,,,,,,,
ELAN THE EMPEROR,RERA-GRG-1774-2024,,https://reratracker.com/elan-the-emperor-in-gurugram-by-elan-avenue-limited-formerly-known-as-airmid-developers-limited-rtid3628,ELAN,,9810008242,elancoordination@elanlimited.com,,,,,106,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,4.8270 (Acre),580,,,"SITUATED IN SECTOR 106 IN THE REVENUE ESTATE OF VILLAGE PAWALA KHUSRUPUR TEHSIL KADIPUR DISTRICT GURUGRAM, HARYANA",,48x48,,45,,,,3.69,3.69,24.10 (Acre),,,,,,,,
ELAN THE MARK,RERA-GRG-1273-2023,,https://reratracker.com/elan-the-mark-in-gurugram-by-elan-avenue-limited-rtid3630,ELAN,,9810008242,kapoorselan@gmail.com,,,,,106,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,6.5250 (Acre),,,,"SITUATED IN SECTOR 106 IN THE REVENUE ESTATE OF VILLAGE PAWALA KHUSRUPUR TEHSIL KADIPUR DISTRICT GURUGRAM, HARYANA",,48x48,,,,,,186.95,187,6.5250 (Acre),,,,,,,,
ELAN THE  PRESIDENTIAL,RERA-GRG-1194-2022,,https://reratracker.com/elan-the-presidential-in-gurugram-by-elan-avenue-limited-formerly-known-as-airmid-developers-limited-rtid3631,ELAN,,9810008242,kapoorselan@gmail.com,,,,,106,Gurugram,GURUGRAM,Haryana,,KADIPUR ST,NEW,,12.767 (Acre),866,,,"SITUATED IN SECTOR 106 IN THE REVENUE ESTATE OF VILLAGE  PAWALA KHUSRUPUR TEHSIL KADIPUR DISTRICT GURUGRAM, HARYANA",,48x48,,32,,,,1.728,1.75,24.10 (Acre),2022-11-21,,,,,,,
Elan The Statement,RERA-GRG-2069-2025,,https://reratracker.com/elan-the-statement-in-gurugram-by-elan-enclave-private-limited-rtid5341,ELAN,,9810008242,elancoordination@elanlimited.com,,,,,49,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.875 (Acre),360,,,"SECTOR 49, GURUGRAM",,48x48,,36,,,,4.825,5.12,5.875 (Acre),,,,,,,,
Eldeco Fairway Reserve,RERA-GRG-1680-2024,,https://reratracker.com/eldeco-fairway-reserve-in-gurugram-by-eldeco-infrastructure-and-properties-limited-rtid3634,Eldeco,,9810946102,secretarial@eldecoproperties.com,,,,,80,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,33752.00 (Sqr/mtrs),324,,,"SECTOR-80, MANESAR, GURUGRAM",,48x48,,25,,,,1.8843,1.9,33752.00 (Sqr/mtrs),2025-01-01,,,,,,,
Eldeco Terra \u0026 Sol,RERA-GRG-2160-2026,,https://reratracker.com/eldeco-terra-sol-in-gurugram-by-eldeco-infrastructure-and-properties-limited-rtid5559,Eldeco,,9810946102,secretarial@eldecoproperties.com,,,,,80,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,2.7001 (Acre),224,,,"PLOT NO- 3A, SECTOR 80, MANESAR, GURUGRAM",,48x48,,30,,,,3.15,3.15,2.7001 (Acre),2026-05-18,,,,,,,
Conscient Hines Elevate Reserve,RERA-GRG-1448-2023,,https://reratracker.com/conscient-hines-elevate-reserve-in-gurugram-by-conscient-infrastructure-private-limited-rtid3637,Conscient,,9810030178,sanjay.rastogi@conscient.in,,,,,62,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,4.84375 (Acre),240,,,"SECTOR-62, VILLAGE ULLHAWAS, WAZIRABAD, GURUGRAM, HARYANA",,48x48,,41,,,,3.228,3.228,4.84375 (Acre),,,,,,,,
Emaar Amaris,RERA-GRG-1790-2024,,https://reratracker.com/emaar-amaris-in-gurugram-by-emaar-india-limited-rtid3479,Emaar,,1244421155,coordination.IN@emaar.ae,,,,,62,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,6.118 (Acre),522,,,"SECTOR 62, GURUGRAM,HARYANA",,48x48,,35,,,,1.60,2.49,14.025 (Acre),2024-11-11,,,,,,,
Emaar Serenity Hills (Phase 2),RERA-GRG-2053-2025,,https://reratracker.com/emaar-serenity-hills-phase-2-in-gurugram-by-emaar-india-limited-rtid5279,Emaar,,8448295834,coordination.in@emaar.ae,,,,,86,Gurugram,GURUGRAM,Haryana,,MANESAR,NEW,,7.213 (Acre),,,,"SECTOR 86, GURUGRAM, HARYANA",,48x48,,,,,,1.41,1.41,25.90 (Acre),,,,,,,,
Emaar The 88,RERA-GRG-1485-2023,,https://reratracker.com/emaar-the-88-in-gurugram-by-emaar-india-limited-rtid4193,Emaar,,1244421155,coordination.IN@emaar.ae,,,,,112,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,1.847 (Acre),88,,,"VILLAGE BAJGHERA, SECTOR 112, GURUGRAM",,48x48,,11,,,,1.75,1.75,10.744 (Acre),,,,,,,,
Emaar Urban Ascent,RERA-GRG-1813-2024,,https://reratracker.com/emaar-urban-ascent-in-gurugram-by-emaar-india-limited-rtid4270,Emaar,,9876888338,coordination.in@emaar.ae,,,,,112,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,9.164 (Acre),816,,,"SECTOR 112, GURUGRAM, HARYANA",,48x48,,32,,,,3.579,3.579,10.744 (Acre),,,,,,,,
Emaar Urban Oasis,RERA-GRG-1390-2023,,https://reratracker.com/emaar-urban-oasis-in-gurugram-by-emaar-india-limited-rtid4274,Emaar,,0124442115,coordination.IN@emaar.ae,,,,,62,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,6.64 (Acre),424,,,"VILLAGE - MAIDAWAS AND NANGLI UMARPUR, SECTOR - 62 \u0026 65,, GURGAON",,48x48,,30,,,,1.87,1.87,177.8625 (Acre),,,,,,,,
Experion The Trillion,RERA-GRG-1773-2024,,https://reratracker.com/experion-the-trillion-in-gurugram-by-experion-developers-private-limited-rtid4244,Experion,,9910487721,accounts@experion.net.in,,,,,45,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,5.496 (Acre),540,,,"PLOT NO. GH3, SECTOR 48, GURUGRAM",,48x48,,45,,,,5.0989,5.12,5.496 (Acre),,,,,,,,
Experion One 42 (Golf Course Road),RERA-GRG-1765-2024,,https://reratracker.com/experion-one-42-golf-course-road-in-gurugram-by-experion-developers-private-limited-rtid3939,Experion,,9910487721,accounts@experion.net.in,,,,,42,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,3.426 (Acre),110,,,"PLOT NO. GH-1 , SECTOR 42, GURUGRAM",,48x48,,24,,,,3.61,3.62,3.426 (Acre),,,,,,,,
Experion The Trillion,RERA-GRG-1773-2024,,https://reratracker.com/experion-the-trillion-in-gurugram-by-experion-developers-private-limited-rtid4244,Experion,,9910487721,accounts@experion.net.in,,,,,48,Gurugram,GURUGRAM,Haryana,,BADSHAHPUR ST,NEW,,5.496 (Acre),540,,,"PLOT NO. GH3, SECTOR 48, GURUGRAM",,48x48,,45,,,,5.0989,5.12,5.496 (Acre),,,,,,,,
Ganga Anantam,RERA-GRG-1615-2024,,https://reratracker.com/ganga-anantam-in-gurugram-by-jai-ganga-realtech-llp-rtid3455,Ganga Realty,,9899744045,NEERAJ@GANGAREALTY.COM,,,,,85,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.29375 (Acre),524,,,"VILLAGE BADHA, SECTOR-85",,48x48,,50,,,,3.65,3.65,5.29375 (Acre),,,,,,,,
Ganga Nandaka,RERA-GRG-1452-2023,,https://reratracker.com/ganga-nandaka-in-gurugram-by-ganga-global-homes-private-limited-rtid3925,Ganga Realty,,9999858031,cs@gangarealty.com,,,,,84,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,5.8406 (Acre),302,,,"VILLAGE SIHI, SECTOR-84,",,48x48,,45,,,,2.65,2.65,8.3438 (Acre),,,,,,,,
Godrej Samaris,RERA-GRG-2216-2026,,https://reratracker.com/godrej-samaris-in-gurugram-by-godrej-properties-limited-rtid5612,Godrej,,2261698500,sector53b.gurugram@godrejproperties.com,,,,,53,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,29999.46 (Sqr/mtrs),488,,,"GH-24, URBAN ESTATE, SECTOR 53, GURUGRAM",,48x48,,36,,,,4.05,4.13,29999.46 (Sqr/mtrs),2026-05-11,,,,,,,
GODREJ ALIRA,RERA-GRG-1943-2025,,https://reratracker.com/godrej-alira-in-gurugram-by-godrej-properties-limited-rtid5161,Godrej,,0226169850,godrejalira.rera@godrejproperties.com,,,,,31,Gurugram,GURUGRAM,Haryana,,WAZIRABAD ST,NEW,,1.9745 (Acre),132,,,"GH-01, URBAN ESTATE II, SECTOR 39, GURUGRAM",,48x48,,33,,,,311,312,1.9745 (Acre),,,,,,,,
Godrej Aristocrat,RERA-GRG-1480-2023,,https://reratracker.com/godrej-aristocrat-in-gurugram-by-godrej-properties-ltd-rtid3700,Godrej,,2261698500,rishabh.goel@godrejproperties.com,,,,,49,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,9.56875 (Acre),728,,,"SECTOR 49, GURUGRAM, HARYANA",,48x48,,30,,,,3.542,3.542,9.56875 (Acre),,,,,,,,
Godrej Astra,RERA-GRG-1725-2024,,https://reratracker.com/godrej-astra-in-gurugram-by-wonder-city-buildcon-ltd-rtid3701,Godrej,,1244842300,godrej54.ggn@godrejproperties.com,,,,,54,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,2.759 (Acre),151,,,"SECTOR 54, URBAN ESTATE, GURUGRAM II",,48x48,,35,,,,3.637233,3.65,2.759 (Acre),,,,,,,,
GODREJ MERIDIEN PHASE III,RERA-GRG-517-2019,,https://reratracker.com/godrej-meridien-phase-iii-in-gurugram-by-godrej-real-view-developers-private-limited-rtid3706,Godrej,,8095621090,reranotice_haryana@godrejproperties.com,,,,,106,Gurugram,GURUGRAM,Haryana,,GURGAON,NEW,,14.793 (Acre),,,,SECTOR 106,,48x48,,,,,,184,1.84,14.793 (Acre),,,,,,,,
